driverId,name,ssn,location,certified,wage-plan
10,Javier Atkinson,485-40-7603,"2743 William Common Suite 424
New Melissastad, OK 07150",N,hours
11,Casey Carter,351-97-4895,"9450 Schmidt Roads
East Kathrynhaven, VT 87027",Y,miles
12,Beverly Wang,787-14-0418,"427 Anthony Islands
New Ronnie, RI 92546",Y,hours
13,Erika Jordan,038-84-7308,"58425 Rivera Street
Cherylville, NC 43366",N,hours
14,Cheryl Wiggins,461-57-4951,"50767 Joy Lakes Apt. 657
Andersonshire, MT 49894",N,miles
15,Kyle Ross,369-26-7373,"2863 Simpson Oval Suite 839
New Robertfort, OK 15036",Y,hours
16,Calvin Knox,050-90-2817,"312 Anderson Mission Suite 691
Lake Shaneton, HI 86610",N,hours
17,Jenny Walls,519-81-6865,"334 Day Branch
Lake Elizabethstad, MD 46569",N,hours
18,Tiffany Charles,534-90-4766,"1233 Andrew Club Apt. 739
Courtneyshire, WY 57622",N,hours
19,Stephanie Wright,857-76-9503,"5981 Morales Streets Apt. 876
Port Anthony, KY 29249",N,miles
20,Brenda Rodriguez,493-45-0849,"5654 Erica Manors
South Jenniferton, MA 74658",N,miles
21,Crystal Washington,545-95-1395,"840 Blake Groves
Crawfordbury, UT 03693",N,hours
22,Randall Gregory,032-56-4344,"7212 Edward Rapids Suite 828
South Diana, MS 88785",N,miles
23,Stephanie Green,449-57-9566,"537 Thompson Run Apt. 252
Frazierport, RI 60288",Y,miles
24,Joseph White,615-67-3151,"81078 Jeffrey Ridges
West Michael, TN 82260",Y,hours
25,Meredith Wilson,242-19-4646,"349 Claudia Lodge
Ballstad, MN 56419",Y,hours
26,Henry Briggs,758-08-5452,"USS Perez
FPO AP 62882",Y,miles
27,Janet Cooper,117-67-6666,"70078 Malone Expressway
Nicholasborough, MD 91456",Y,miles
28,Danielle Brown,595-47-9533,"2397 Randall Mountains
Bradfordchester, PA 81907",N,miles
29,Suzanne Blake,835-28-8157,"111 Mccall Lake Apt. 376
Lake Andrew, AL 75161",N,hours
30,Timothy Rodriguez,206-14-0379,"372 Loretta Hills Suite 824
Leahbury, MS 66403",Y,hours
31,Nicholas Reynolds,137-60-7493,"Unit 4067 Box 8398
DPO AE 53826",Y,hours
32,David Scott,625-92-6814,"2785 Alexander Island Suite 852
Lake Joe, HI 75925",N,miles
33,Matthew Morris,860-43-6690,"3816 Weeks Squares
Port Rebeccashire, NM 10744",N,hours
34,Emily Delgado,860-67-1642,"3648 Danny Club Suite 674
Jenniferberg, VT 88552",Y,miles
35,Joseph Myers,201-23-8312,"1062 Pamela Shoals
Derrickborough, NV 76182",N,hours
36,Beth Moore,752-83-3104,"423 Steven Pass Suite 318
Lake Charles, TX 91460",N,hours
37,David Johnson,086-38-0393,"825 Payne Lake Suite 516
Kaitlinmouth, TX 50586",N,hours
38,Manuel Wright,782-18-8888,"Unit 7162 Box 5899
DPO AE 47448",Y,miles
39,Evelyn Vasquez,303-08-9922,"0134 Clark Circle
West Deborahview, NY 35696",N,hours
40,Austin Peterson,893-43-0196,"32016 Case Branch
Rebeccamouth, PA 20687",Y,miles
41,Kathy King,467-32-2774,"8549 Wilson Spurs
Andradeshire, SD 55041",N,hours
42,Nancy Spencer,668-71-6038,"0055 Paul Ranch
Reedberg, GU 15915",N,hours
43,James Hayes,308-18-9580,"105 Hall Brooks Suite 667
Davistown, MP 75802",N,miles
44,Andre Gardner,109-10-5564,"7091 Lisa Brooks Apt. 093
Port Joyceberg, SD 42512",N,hours
45,Sandra Gomez,227-37-9586,"USNS Clark
FPO AP 44926",Y,miles
46,Brian Anderson,653-20-3752,"USNS Gamble
FPO AA 50948",Y,hours
47,Melissa Day,001-77-9099,"61414 Johnson Crossing Apt. 388
Samanthatown, SD 06329",N,miles
48,Benjamin Maxwell,782-38-8419,"Unit 4518 Box 8415
DPO AA 14754",Y,miles
49,Laura Sullivan,797-73-1784,"865 Jackson Plains Suite 074
North Catherine, LA 99589",N,hours
50,Emily Harrington,097-22-1129,"58145 Barnes Key
East Ryan, MO 21601",Y,hours
51,Elizabeth Steele,551-39-0770,"PSC 4034, Box 8607
APO AP 24833",N,hours
52,Karen Weaver,010-26-7038,"PSC 6101, Box 9132
APO AP 69389",Y,hours
53,Jaime King,868-81-7045,"6258 Boyd Place Apt. 993
South David, AZ 56094",Y,miles
